source_commit,source_path,destination_path,source_sha256,destination_sha256,license,authorization,delta
0fb40f482f5aa81464e46e360d0b3f26853ba0ae,test/lib/kvm_frame_lock_smoke.c,test/lib/kvm_frame_lock_smoke.c,fb8b2165205ae4eadfe15d38c279e0304a1348365fab084588d1a82770edf575,fb8b2165205ae4eadfe15d38c279e0304a1348365fab084588d1a82770edf575,MIT,owner grant 2026-09-19,unchanged
0fb40f482f5aa81464e46e360d0b3f26853ba0ae,test/lib/kvm_input_admission_smoke.c,test/lib/kvm_input_admission_smoke.c,843a8c0f7adcd661fc60bfc3116a47192934014b2c64d100b3d4a92d25a29bbd,843a8c0f7adcd661fc60bfc3116a47192934014b2c64d100b3d4a92d25a29bbd,MIT,owner grant 2026-09-19,unchanged
0fb40f482f5aa81464e46e360d0b3f26853ba0ae,test/lib/kvm_keyboard_lifetime_smoke.c,test/lib/kvm_keyboard_lifetime_smoke.c,97b3aa7e805d1ccddd5505905bf4b23d323fd6f4cf023e360ce1521681e8c607,97b3aa7e805d1ccddd5505905bf4b23d323fd6f4cf023e360ce1521681e8c607,MIT,owner grant 2026-09-19,unchanged
0fb40f482f5aa81464e46e360d0b3f26853ba0ae,test/lib/kvm_leaf_control_capacity_smoke.c,test/lib/kvm_leaf_control_capacity_smoke.c,0b0b7a7f18d44dbf8feee09bf82fb3d741e91bd419be703930182ad5b4f4ed51,0b0b7a7f18d44dbf8feee09bf82fb3d741e91bd419be703930182ad5b4f4ed51,MIT,owner grant 2026-09-19,unchanged
0fb40f482f5aa81464e46e360d0b3f26853ba0ae,test/lib/kvm_mailbox_selection_smoke.c,test/lib/kvm_mailbox_selection_smoke.c,8880956d5da8b5e00a1c7f98d2629d454bc4a43b8f50f4225ca9f734836df7d1,8880956d5da8b5e00a1c7f98d2629d454bc4a43b8f50f4225ca9f734836df7d1,MIT,owner grant 2026-09-19,unchanged
0fb40f482f5aa81464e46e360d0b3f26853ba0ae,test/lib/kvm_naming_forbidden_smoke.cmake,test/lib/kvm_naming_forbidden_smoke.cmake,9b48ef3cf923ec09b994a3b32c407142732672efcb8369bdc3af6892ff38cf77,9b48ef3cf923ec09b994a3b32c407142732672efcb8369bdc3af6892ff38cf77,MIT,owner grant 2026-09-19,unchanged
0fb40f482f5aa81464e46e360d0b3f26853ba0ae,test/lib/kvm_shutdown_failure_smoke.c,test/lib/kvm_shutdown_failure_smoke.c,194e0c3957d01f36f55b31d1d07c94a8415e3471000b84b1e8ee6606bf6cd9dd,194e0c3957d01f36f55b31d1d07c94a8415e3471000b84b1e8ee6606bf6cd9dd,MIT,owner grant 2026-09-19,unchanged
0fb40f482f5aa81464e46e360d0b3f26853ba0ae,test/lib/kvm_window_capture_contract_smoke.c,test/lib/kvm_window_capture_contract_smoke.c,5d628123cc13d55eba9e2333b6f3293f4f94f0f9bddf779625e26f15c10fad08,5d628123cc13d55eba9e2333b6f3293f4f94f0f9bddf779625e26f15c10fad08,MIT,owner grant 2026-09-19,unchanged
0fb40f482f5aa81464e46e360d0b3f26853ba0ae,test/lib/kvm_window_modal_smoke.c,test/lib/kvm_window_modal_smoke.c,9b2fd88f4443315255ce9bd34297fd7e379d7f71f17804d60ecd94d7dac09cd6,9b2fd88f4443315255ce9bd34297fd7e379d7f71f17804d60ecd94d7dac09cd6,MIT,owner grant 2026-09-19,unchanged
0fb40f482f5aa81464e46e360d0b3f26853ba0ae,test/lib/kvm_window_retirement_smoke.c,test/lib/kvm_window_retirement_smoke.c,5ec17952aaf60761be1da48a252add7c9786dbb7b9f184f7e390e247a8443b01,5ec17952aaf60761be1da48a252add7c9786dbb7b9f184f7e390e247a8443b01,MIT,owner grant 2026-09-19,unchanged
